,Agric,Food ,Soda ,Beer ,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Gold ,Mines,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  
198001,0.3,3.63,1.64,11.04,10.7,4.29,4.32,1.28,1.12,7.55,0.73,-2.43,4.32,8.9,5.14,6.88,16.95,17.5,11,7.62,8.12,9.82,25.33,17.15,14.73,14.22,1.48,-2.05,5.78,6.94,6.69,6.94,7.64,10.03,7.16,1.9,9.56,5.43,-0.43,3,-1.99,3.38,8.4,3.77
198002,2,-5.21,-8.71,-2.3,-2.2,-4.35,-6.99,-4.68,-0.51,-3.02,-7.54,-4.01,-1.32,-5.29,-1.14,-1.95,-3.95,0.1,-5.45,-3.23,-4.3,-6.37,-8.12,8.77,3.88,12.75,-3.37,-1.48,-8.26,-1.87,-4.09,3.05,-1.97,-4.53,-0.54,0.06,-4.3,-2.5,-5.42,-5.86,-7.66,-8.71,-2.34,-1.75
198003,-21.23,-9.95,-0.5,-13.43,-11.58,-6.96,-11.57,-4.44,-5.43,-4.62,-2.29,-2.84,-11.99,-13.77,-14.53,-14.57,-15.04,-18.64,-19.02,-12.25,-8.92,-9.9,-12.46,-26.01,-19.21,-17.75,-6.55,-2.64,-11.73,-16.09,-13.72,-17.85,-11.53,-9.61,-14.25,-6.98,-13.94,-9.85,-7.83,-12.95,-4.42,-7.62,-23.46,-11.13
198004,5.77,8.92,3.6,4.31,-3.87,9.01,3.08,4.3,2.39,12.15,7.03,2.97,5.02,-2.25,5.74,3.48,4.98,2.31,2.6,0.17,2.42,-2.67,-3.04,6.17,-0.5,6.9,11.96,7.3,7.96,8.22,-0.29,7.55,3.65,-3,2.09,6,0.12,-1.74,4.65,7.85,8.55,6.58,10.9,5.72
198005,7.18,8.73,5.4,9.76,5.86,4.05,9.57,6.41,1.45,3.32,6.27,7.45,7.58,10.07,7.59,9.4,3.31,5.17,6.49,5.86,7.89,3.14,0.57,10.74,6.5,3.94,4.56,5.02,4.78,8.94,3.27,9.46,7.12,7.33,6.87,6.3,11.28,12.28,9.55,12.05,6.58,6.38,11.76,9.06
198006,7.25,3.02,-1.69,3.73,2.69,-1.07,2.51,1.16,4.17,6.86,0.01,-0.3,2.28,2.63,1.8,3.21,15.94,2.4,12.08,5.94,0.6,1.8,-0.11,33.87,6.6,5.8,4.45,-0.59,5.64,4.52,3.95,2.43,1.64,2.5,4.03,-1.14,1.86,1.97,2.48,4.13,4.94,4.6,6.75,5.08
198007,9.35,3.23,11.34,9.02,12.23,6.36,10.88,10.39,15.01,21.67,8.9,7.62,8.6,4.81,11.47,11.63,19.8,12.76,10.16,11.85,14.6,12.86,11.93,6.82,8.81,1.62,-0.16,1.02,14.04,11.65,14.47,30.46,14.55,21.56,9.79,7.83,16.11,11.93,11.03,7.69,1.56,1.36,8.51,4.63
198008,10.21,0.27,-1.64,1.26,7.48,1.58,5.2,0.85,1.73,3.39,2.14,-0.53,3.14,4.03,4.94,0.61,4.23,1.09,4.91,0.87,-0.82,3.15,1.57,9.7,4.84,3.83,-1.16,6.31,3.92,6.27,2.95,18.84,5.87,1.03,1.3,0.27,0.38,6.99,0.29,0.89,-0.5,2.34,3.59,3.01
198009,2.03,0.32,-4.53,1.06,7.2,1.19,4,0.5,2.77,5.75,4.18,3.2,2.1,0.98,-0.15,0.84,6.38,4.59,5.85,5.81,1.74,1.85,4.3,20.84,8.7,6.8,0.11,-1.59,3.29,6.14,-0.13,10.11,5.09,5.35,0.58,1.08,1.96,7.26,-0.79,2.79,-1.11,3.39,5.31,4.25
198010,6.12,-0.91,-3.44,0.47,3.55,-1.87,-0.9,0.53,0.81,1.63,3.45,-2.93,-0.98,2.44,1.79,1.85,13.68,-1.03,6.94,3.31,2.49,-4.23,-3.13,-3.58,1.09,8.09,1.89,-3.24,1.52,4.57,1.9,11.37,1.82,1.14,1.92,-1.9,6.54,-0.32,-1.85,-4.01,-0.95,-4.57,1.5,2.47
198011,12.69,-1.36,0.4,0.18,14.58,19.51,2.72,5.49,2.77,11.39,9.55,8.27,9.3,2.93,-1.79,5.61,11.18,5.55,13.29,12.52,11.93,-1.09,17.51,-0.15,10.39,24.66,7.35,0.01,4.6,8.91,6.92,13.15,12.26,18.03,7.56,6.25,13.29,9.05,0.94,-1.69,2.67,-1.55,4.01,10.01
198012,-5.9,2.16,8.21,-4.07,-8.51,-0.26,1.65,-0.84,-1.49,2.9,2.06,5.58,-1.95,-4.81,-2.48,-3.18,-8.41,-4.3,-6.55,-4.06,-4.62,-0.18,5.92,-17.38,-3.96,-10.89,-1.92,0.82,-5.16,-2.91,0.78,-0.68,-4.46,-2.41,-3.76,-2.78,-5.73,-6.73,0.25,-0.14,9.81,3.41,1.69,0.07
198101,2.87,1.51,4.59,4.56,-8.36,-1.4,-0.89,-0.99,7.82,0.41,-3.3,-1.31,0.79,1.37,7.34,0.02,-11.53,0.72,-4.04,-6.68,-2.48,-1.14,-6.85,-11.04,-7.09,-10.38,-2.73,5.53,0.22,-1.61,-8.18,-11.52,-7.85,-9.53,1.81,0.15,2.35,-3.08,0.46,1.08,-0.86,-1.52,-0.65,-3.81
